File,Pressure_mTorr,Voltage_kV,Current_A,rat1,rat2,rat4,rat5,w630,w880
50p2mTorr_0.38kV_70A_spectrum_data.csv,50.2,38.0,70.0,0.5164081111391807,0.19987711359276833,0.607093580910806,11.69367442385414,7.350760684969568,14.495881780982804
24p6mTorr_0.46kV_40A_spectrum_data.csv,24.6,46.0,40.0,3.142630319277638,8.274150196665095,7.4729421121122375,6.1681613126404455,5.723845233479385,23.451558879450754
36p0mTorr_0.47kV_60A_spectrum_data.csv,36.0,47.0,60.0,0.00012065148090954013,0.6826236554777503,0.7750326672901062,6.149100388680951,8.403941543090756,13.584641481375021
20p0mTorr_0.50kV_70A_spectrum_data.csv,20.0,50.0,70.0,0.0,4.649003437011068,0.0,,0.0,9.486992004170268
106mTorr_0.36kV_10A_spectrum_data.csv,106.0,36.0,10.0,-31.29096630862362,1.0864137868079875,2.1846730708368893,0.7114437953593065,8.806062769528637,8.719550237785242
24p7mTorr_0.47kV_60A_spectrum_data.csv,24.7,47.0,60.0,0.0,,0.0,,0.0,36.38662939097214
16p1mTorr_0.49kV_70A_spectrum_data.csv,16.1,49.0,70.0,0.14109950039252264,26.865341273497048,0.11975816160361369,,0.0,9.987819101280694
49p9mTorr_0.38kV_20A_spectrum_data.csv,49.9,38.0,20.0,0.8077085145175135,4.637009923315473,0.5153574400067605,6.005464727553664,7.717679934594763,38.3971638173732
17p3mTorr_0.41kV_20A_spectrum_data.csv,17.3,41.0,20.0,2.2679455997677724,,9.276505075334267,0.5569848846601593,8.306487153735873,17.520445940011644
64p7mTorr_0.36kV_40A_spectrum_data.csv,64.7,36.0,40.0,3.110784185005432,0.8350008632627894,0.939444771894056,1.4652395128641322,9.679566638780246,13.079476759232127
15p7mTorr_0.48kV_60A_spectrum_data.csv,15.7,48.0,60.0,0.28675989386024914,15.947511284785621,0.5491588153497546,,0.0,9.358227252653158
19p6mTorr_0.46kV_40A_spectrum_data.csv,19.6,46.0,40.0,0.21398813799924732,0.0,,,0.0,0.0
49p2mTorr_0.41kV_30A_spectrum_data.csv,49.2,41.0,30.0,1.01288262985588e-05,2.074079529231437,0.8699906587845125,5.075375350561666,7.492710279482475,13.434891523040541
94p1mTorr_0.39kV_90A_spectrum_data.csv,94.1,39.0,90.0,0.0,2.1339870985539537,0.0,,0.0,16.757105466534213
34p1mTorr_0.49kV_80A_spectrum_data.csv,34.1,49.0,80.0,0.0,1.4149184336795388,0.0,,0.0,8.243113744512225
34p5mTorr_0.44kV_40A_spectrum_data.csv,34.5,44.0,40.0,1.8060557159301038,6.319087526432615,0.2612580369297142,2.2659869939411283,5.9955129273876455,12.280283676545752
93p3mTorr_0.38kV_70A_spectrum_data.csv,93.3,38.0,70.0,846.4199932938732,0.2499163086103731,1.15234484243282,0.00010258351179841306,578.8652816380809,15.894099348703076
17p3mTorr_0.41kV_30A_spectrum_data.csv,17.3,41.0,30.0,7.7253864013469915,4.170489506695847,2.0521424394662406,1.3080877002140963,6.3154643512996165,7.498178233975235
48p6mTorr_0.43kV_50A_spectrum_data.csv,48.6,43.0,50.0,0.0,0.5847174311053018,0.0,,0.0,2.845457430378743
171mTorr_0.45kV_45A_spectrum_data.csv,171.0,45.0,45.0,291.64893441162144,0.7563204390124624,0.97412343897059,4.291330611738587,10.768720376537697,16.26821113959574
24p1mTorr_0.49kV_100A_spectrum_data.csv,24.1,49.0,100.0,0.3525739964277054,2.1318512035522406,0.7197596861891011,5.530763969109197,8.153985835449456,15.201549456043196
23p7mTorr_0.49kV_60A_spectrum_data.csv,23.7,49.0,60.0,0.0,0.0,0.0,,0.0,0.0
172mTorr_0.46kV_25A_spectrum_data.csv,172.0,46.0,25.0,3.088035097654899,1.171480335692581,9.013634514542575e-06,5.431584345235807,8.009852894111516,16.310130683007554
64p4mTorr_0.38kV_60A_spectrum_data.csv,64.4,38.0,60.0,1.2726941299304526,1.9427280296136493,4.572937687146283e-06,0.3112743986106267,33.533171862027864,23.392161610136057
51p5mTorr_0.38kV_60A_spectrum_data.csv,51.5,38.0,60.0,1.5224214943803994e-05,2.268344246702702,0.6994399330875682,0.5885596224104085,9.842152539746287,8.32117326239688
16p0mTorr_0.50kV_80A_spectrum_data.csv,16.0,50.0,80.0,0.008739294565323935,0.22487317631743478,1.5055929001451842,,0.0,13.59434594684253
