Wavelength_nm,Intensity
3.177789999999999964e+02,3.132793679833412170e-02
3.188820000000000050e+02,3.284421190619468689e-02
3.199850000000000136e+02,3.463437780737876892e-02
3.210879999999999654e+02,3.825873509049415588e-02
3.221909999999999741e+02,3.976033255457878113e-02
3.232939999999999827e+02,4.153580591082572937e-02
3.243969999999999914e+02,3.944728150963783264e-02
3.255000000000000000e+02,3.793103620409965515e-02
3.266030000000000086e+02,3.443873301148414612e-02
3.277060000000000173e+02,3.244315832853317261e-02
3.288089999999999691e+02,2.984592504799365997e-02
3.299119999999999777e+02,2.863291837275028229e-02
3.310149999999999864e+02,2.631940692663192749e-02
3.321179999999999950e+02,2.499876543879508972e-02
3.332210000000000036e+02,2.355588786303997040e-02
3.343240000000000123e+02,2.359011955559253693e-02
3.354269999999999641e+02,2.416728809475898743e-02
3.365299999999999727e+02,2.655416540801525116e-02
3.376329999999999814e+02,2.718024328351020813e-02
3.387359999999999900e+02,2.896061353385448456e-02
3.398389999999999986e+02,3.011004999279975891e-02
3.409420000000000073e+02,3.315724804997444153e-02
3.420450000000000159e+02,3.528002649545669556e-02
3.431479999999999677e+02,3.858155384659767151e-02
3.442509999999999764e+02,3.852776065468788147e-02
3.453539999999999850e+02,3.680605813860893250e-02
3.464569999999999936e+02,2.987528219819068909e-02
3.475600000000000023e+02,2.395695447921752930e-02
3.486630000000000109e+02,1.882121898233890533e-02
3.497659999999999627e+02,1.755930110812187195e-02
3.508689999999999714e+02,1.817559637129306793e-02
3.519719999999999800e+02,2.305207960307598114e-02
3.530749999999999886e+02,2.795792743563652039e-02
3.541779999999999973e+02,3.239912167191505432e-02
3.552810000000000059e+02,3.099046647548675537e-02
3.563840000000000146e+02,2.849596738815307617e-02
3.574869999999999663e+02,2.408901788294315338e-02
3.585899999999999750e+02,2.235755138099193573e-02
3.596929999999999836e+02,2.136953361332416534e-02
3.607959999999999923e+02,2.204450778663158417e-02
3.618990000000000009e+02,2.137931808829307556e-02
3.630020000000000095e+02,2.241135761141777039e-02
3.641049999999999613e+02,2.353142574429512024e-02
3.652079999999999700e+02,2.787969447672367096e-02
3.663109999999999786e+02,3.378332033753395081e-02
3.674139999999999873e+02,4.120325669646263123e-02
3.685169999999999959e+02,4.422108456492424011e-02
3.696200000000000045e+02,4.607973247766494751e-02
3.707230000000000132e+02,4.286132007837295532e-02
3.718259999999999650e+02,4.179995134472846985e-02
3.729289999999999736e+02,3.990704938769340515e-02
3.740319999999999823e+02,4.239666461944580078e-02
3.751349999999999909e+02,4.543407633900642395e-02
3.762379999999999995e+02,5.239422619342803955e-02
3.773410000000000082e+02,5.815601348876953125e-02
3.784440000000000168e+02,6.522864848375320435e-02
3.795469999999999686e+02,6.672533601522445679e-02
3.806499999999999773e+02,6.771828234195709229e-02
3.817529999999999859e+02,6.371241807937622070e-02
3.828559999999999945e+02,6.044019386172294617e-02
3.839590000000000032e+02,5.325016379356384277e-02
3.850620000000000118e+02,4.893618449568748474e-02
3.861649999999999636e+02,4.529223591089248657e-02
3.872679999999999723e+02,4.571779072284698486e-02
3.883709999999999809e+02,4.469551891088485718e-02
3.894739999999999895e+02,4.531181231141090393e-02
3.905769999999999982e+02,4.375151544809341431e-02
3.916800000000000068e+02,4.300316795706748962e-02
3.927830000000000155e+02,4.153580591082572937e-02
3.938859999999999673e+02,4.422597959637641907e-02
3.949889999999999759e+02,4.642700031399726868e-02
3.960919999999999845e+02,5.028125271201133728e-02
3.971949999999999932e+02,4.990953207015991211e-02
3.982980000000000018e+02,4.705306515097618103e-02
3.994010000000000105e+02,3.978965058922767639e-02
4.005039999999999623e+02,3.352406993508338928e-02
4.016069999999999709e+02,2.730741538107395172e-02
4.027099999999999795e+02,2.546343393623828888e-02
4.038129999999999882e+02,2.555147372186183929e-02
4.049159999999999968e+02,2.827585861086845398e-02
4.060190000000000055e+02,2.939105778932571411e-02
4.071220000000000141e+02,3.220346942543983459e-02
4.082249999999999659e+02,3.228663653135299683e-02
4.093279999999999745e+02,3.315724804997444153e-02
4.104309999999999832e+02,3.044264949858188629e-02
4.115339999999999918e+02,2.825630269944667816e-02
4.126370000000000005e+02,2.443140558898448944e-02
4.137400000000000091e+02,2.272926829755306244e-02
4.148429999999999609e+02,2.049889974296092987e-02
4.159459999999999695e+02,1.977500878274440765e-02
4.170489999999999782e+02,1.839570328593254089e-02
4.181519999999999868e+02,1.823429204523563385e-02
4.192549999999999955e+02,1.761310547590255737e-02
4.203580000000000041e+02,1.746637187898159027e-02
4.214610000000000127e+02,1.633162051439285278e-02
4.225639999999999645e+02,1.605771854519844055e-02
4.236669999999999732e+02,1.431156974285840988e-02
4.247699999999999818e+02,1.350941509008407593e-02
4.258729999999999905e+02,1.253117900341749191e-02
4.269759999999999991e+02,1.247737463563680649e-02
4.280790000000000077e+02,1.136708259582519531e-02
4.291819999999999595e+02,1.067253667861223221e-02
4.302849999999999682e+02,8.843243122100830078e-03
4.313879999999999768e+02,7.586208637803792953e-03
4.324909999999999854e+02,6.696015130728483200e-03
4.335939999999999941e+02,7.498171646147966385e-03
4.346970000000000027e+02,8.295427076518535614e-03
4.358000000000000114e+02,1.041330862790346146e-02
4.369029999999999632e+02,1.254585105925798416e-02
4.380059999999999718e+02,1.485937833786010742e-02
4.391089999999999804e+02,1.597945950925350189e-02
4.402119999999999891e+02,1.665445044636726379e-02
4.413149999999999977e+02,1.626314781606197357e-02
4.424180000000000064e+02,1.738323271274566650e-02
4.435210000000000150e+02,1.800929941236972809e-02
4.446239999999999668e+02,2.091953903436660767e-02
4.457269999999999754e+02,2.373686246573925018e-02
4.468299999999999841e+02,2.828563377261161804e-02
4.479329999999999927e+02,3.042797930538654327e-02
4.490360000000000014e+02,3.304474055767059326e-02
4.501390000000000100e+02,3.396921977400779724e-02
4.512419999999999618e+02,3.726583346724510193e-02
4.523449999999999704e+02,3.890438377857208252e-02
4.534479999999999791e+02,4.230863228440284729e-02
4.545509999999999877e+02,3.995598480105400085e-02
4.556539999999999964e+02,3.550991415977478027e-02
4.567570000000000050e+02,2.609440311789512634e-02
4.578600000000000136e+02,2.005380392074584961e-02
4.589629999999999654e+02,1.484959851950407028e-02
4.600659999999999741e+02,1.276595797389745712e-02
4.611689999999999827e+02,1.091710012406110764e-02
4.622719999999999914e+02,1.044265646487474442e-02
4.633750000000000000e+02,9.342142380774021149e-03
4.644780000000000086e+02,9.249204769730567932e-03
4.655809999999999604e+02,8.363902568817138672e-03
4.666839999999999691e+02,8.838351815938949585e-03
4.677869999999999777e+02,9.107363410294055939e-03
4.688900000000000432e+02,1.073612831532955170e-02
4.699929999999999950e+02,1.168990135192871094e-02
4.710959999999999468e+02,1.300562918186187744e-02
4.721990000000000123e+02,1.316214725375175476e-02
4.733019999999999641e+02,1.474688574671745300e-02
4.744050000000000296e+02,1.632673107087612152e-02
4.755079999999999814e+02,2.149669826030731201e-02
4.766109999999999332e+02,2.717046067118644714e-02
4.777139999999999986e+02,3.532403707504272461e-02
4.788169999999999504e+02,4.044020548462867737e-02
4.799200000000000159e+02,4.224016144871711731e-02
4.810229999999999677e+02,3.725115954875946045e-02
4.821260000000000332e+02,3.177795559167861938e-02
4.832289999999999850e+02,2.523844502866268158e-02
4.843319999999999368e+02,2.123257331550121307e-02
4.854350000000000023e+02,1.775494776666164398e-02
4.865379999999999541e+02,1.688431389629840851e-02
4.876410000000000196e+02,1.565663516521453857e-02
4.887439999999999714e+02,1.605282351374626160e-02
4.898470000000000368e+02,1.582783088088035583e-02
4.909499999999999886e+02,1.737833209335803986e-02
4.920529999999999404e+02,1.731964014470577240e-02
4.931560000000000059e+02,1.813645660877227783e-02
4.942589999999999577e+02,1.683540642261505127e-02
4.953620000000000232e+02,1.684519276022911072e-02
4.964649999999999750e+02,1.662019640207290649e-02
4.975680000000000405e+02,1.795549504458904266e-02
4.986709999999999923e+02,1.786256022751331329e-02
4.997739999999999441e+02,1.835656911134719849e-02
5.008770000000000095e+02,1.684519462287425995e-02
5.019799999999999613e+02,1.447297632694244385e-02
5.030830000000000268e+02,1.154806092381477356e-02
5.041859999999999786e+02,9.244318120181560516e-03
5.052889999999999304e+02,7.620451040565967560e-03
5.063919999999999959e+02,7.322086486965417862e-03
5.074949999999999477e+02,7.600882090628147125e-03
5.085980000000000132e+02,9.454630315303802490e-03
5.097009999999999650e+02,1.081438362598419189e-02
5.108040000000000305e+02,1.189533062279224396e-02
5.119069999999999823e+02,1.125947851687669754e-02
5.130099999999999909e+02,1.061873696744441986e-02
5.141130000000000564e+02,8.994868956506252289e-03
5.152160000000000082e+02,8.148695342242717743e-03
5.163190000000000737e+02,7.018833886831998825e-03
5.174220000000000255e+02,7.473709527403116226e-03
5.185250000000000909e+02,8.520425297319889069e-03
5.196280000000000427e+02,1.077525410801172256e-02
5.207309999999999945e+02,1.280509121716022491e-02
5.218340000000000600e+02,1.547077670693397522e-02
5.229370000000000118e+02,1.679627969861030579e-02
5.240400000000000773e+02,1.872341521084308624e-02
5.251430000000000291e+02,1.934458687901496887e-02
5.262460000000000946e+02,2.068476937711238861e-02
5.273490000000000464e+02,2.153583243489265442e-02
5.284519999999999982e+02,2.319393306970596313e-02
5.295550000000000637e+02,2.319394610822200775e-02
5.306580000000000155e+02,2.489606663584709167e-02
5.317610000000000809e+02,2.633895538747310638e-02
5.328640000000000327e+02,3.020788729190826416e-02
5.339670000000000982e+02,3.387625515460968018e-02
5.350700000000000500e+02,3.896307945251464844e-02
5.361730000000000018e+02,4.152113944292068481e-02
5.372760000000000673e+02,4.379064217209815979e-02
5.383790000000000191e+02,4.223038256168365479e-02
5.394820000000000846e+02,4.146735370159149170e-02
5.405850000000000364e+02,3.859623521566390991e-02
5.416879999999999882e+02,3.857178613543510437e-02
5.427910000000000537e+02,3.849841654300689697e-02
5.438940000000000055e+02,4.144778475165367126e-02
5.449970000000000709e+02,4.317436367273330688e-02
5.461000000000000227e+02,4.405478015542030334e-02
5.472030000000000882e+02,4.039619863033294678e-02
5.483060000000000400e+02,3.727561607956886292e-02
5.494089999999999918e+02,3.197847679257392883e-02
5.505120000000000573e+02,2.968450263142585754e-02
5.516150000000000091e+02,2.633407153189182281e-02
5.527180000000000746e+02,2.491562627255916595e-02
5.538210000000000264e+02,2.255808003246784210e-02
5.549240000000000919e+02,2.209831215441226959e-02
5.560270000000000437e+02,2.042552828788757324e-02
5.571299999999999955e+02,1.930056326091289520e-02
5.582330000000000609e+02,1.659574359655380249e-02
5.593360000000000127e+02,1.478111371397972107e-02
5.604390000000000782e+02,1.315236091613769531e-02
5.615420000000000300e+02,1.193446107208728790e-02
5.626450000000000955e+02,1.059917267411947250e-02
5.637480000000000473e+02,1.003668457269668579e-02
5.648509999999999991e+02,9.278554469347000122e-03
5.659540000000000646e+02,9.180733002722263336e-03
5.670570000000000164e+02,8.936172351241111755e-03
