Wavelength_nm,Intensity
3.177789999999999964e+02,6.800080882385373116e-04
3.188820000000000050e+02,7.709950441494584084e-04
3.199850000000000136e+02,9.433917584829032421e-04
3.210879999999999654e+02,1.340860733762383461e-03
3.221909999999999741e+02,1.249874010682106018e-03
3.232939999999999827e+02,1.106210402213037014e-03
3.243969999999999914e+02,9.912796085700392723e-04
3.255000000000000000e+02,9.529691305942833424e-04
3.266030000000000086e+02,7.901504286564886570e-04
3.277060000000000173e+02,8.332495926879346371e-04
3.288089999999999691e+02,6.895858095958828926e-04
3.299119999999999777e+02,5.459220847114920616e-04
3.310149999999999864e+02,5.459220265038311481e-04
3.321179999999999950e+02,5.985987372696399689e-04
3.332210000000000036e+02,5.267668166197836399e-04
3.343240000000000123e+02,5.650772945955395699e-04
3.354269999999999641e+02,5.794435273855924606e-04
3.365299999999999727e+02,5.650771781802177429e-04
3.376329999999999814e+02,5.602883757092058659e-04
3.387359999999999900e+02,6.512753898277878761e-04
3.398389999999999986e+02,6.752193439751863480e-04
3.409420000000000073e+02,7.901503122411668301e-04
3.420450000000000159e+02,8.619824657216668129e-04
3.431479999999999677e+02,9.912794921547174454e-04
3.442509999999999764e+02,1.005645957775413990e-03
3.453539999999999850e+02,9.912793757393956184e-04
3.464569999999999936e+02,6.895856349729001522e-04
3.475600000000000023e+02,3.974695573560893536e-04
3.486630000000000109e+02,2.969049965031445026e-04
3.497659999999999627e+02,3.256377822253853083e-04
3.508689999999999714e+02,3.687368007376790047e-04
3.519719999999999800e+02,6.081762840040028095e-04
3.530749999999999886e+02,8.236718713305890560e-04
3.541779999999999973e+02,8.859261870384216309e-04
3.552810000000000059e+02,6.895857513882219791e-04
3.563840000000000146e+02,5.315556190907955170e-04
3.574869999999999663e+02,3.591592831071466208e-04
3.585899999999999750e+02,3.016937698703259230e-04
3.596929999999999836e+02,3.112713748123496771e-04
3.607959999999999923e+02,2.825386472977697849e-04
3.618990000000000009e+02,2.585946640465408564e-04
3.630020000000000095e+02,3.783144929911941290e-04
3.641049999999999613e+02,4.980341764166951180e-04
3.652079999999999700e+02,6.704305997118353844e-04
3.663109999999999786e+02,1.010434818454086781e-03
3.674139999999999873e+02,1.369594014249742031e-03
3.685169999999999959e+02,1.470158342272043228e-03
3.696200000000000045e+02,1.585089485161006451e-03
3.707230000000000132e+02,1.422271016053855419e-03
3.718259999999999650e+02,1.388748991303145885e-03
3.729289999999999736e+02,1.484525389969348907e-03
3.740319999999999823e+02,1.723964232951402664e-03
3.751349999999999909e+02,1.805374049581587315e-03
3.762379999999999995e+02,2.308197552338242531e-03
3.773410000000000082e+02,3.309057326987385750e-03
3.784440000000000168e+02,4.578087013214826584e-03
3.795469999999999686e+02,4.975555464625358582e-03
3.806499999999999773e+02,4.965980071574449539e-03
3.817529999999999859e+02,4.199769813567399979e-03
3.828559999999999945e+02,3.610748797655105591e-03
3.839590000000000032e+02,2.935529686510562897e-03
3.850620000000000118e+02,2.485383767634630203e-03
3.861649999999999636e+02,2.308198017999529839e-03
3.872679999999999723e+02,2.298620063811540604e-03
3.883709999999999809e+02,2.169323386624455452e-03
3.894739999999999895e+02,2.289043273776769638e-03
3.905769999999999982e+02,2.174111781641840935e-03
3.916800000000000068e+02,2.293831668794155121e-03
3.927830000000000155e+02,2.289042575284838676e-03
3.938859999999999673e+02,2.787077566608786583e-03
3.949889999999999759e+02,3.328209975734353065e-03
3.960919999999999845e+02,4.075260832905769348e-03
3.971949999999999932e+02,4.314700607210397720e-03
3.982980000000000018e+02,3.634693101048469543e-03
