Wavelength_nm,Intensity
3.177789999999999964e+02,1.210863515734672546e-01
3.188820000000000050e+02,1.052667722105979919e-01
3.199850000000000136e+02,1.156202405691146851e-01
3.210879999999999654e+02,1.044951230287551880e-01
3.221909999999999741e+02,1.161853000521659851e-01
3.232939999999999827e+02,1.046007648110389709e-01
3.243969999999999914e+02,1.148898750543594360e-01
3.255000000000000000e+02,1.011740714311599731e-01
3.266030000000000086e+02,1.106869801878929138e-01
3.277060000000000173e+02,9.715023636817932129e-02
3.288089999999999691e+02,1.075818613171577454e-01
3.299119999999999777e+02,9.455499053001403809e-02
3.310149999999999864e+02,1.034845709800720215e-01
3.321179999999999950e+02,8.881786465644836426e-02
3.332210000000000036e+02,9.905191510915756226e-02
3.343240000000000123e+02,8.796808868646621704e-02
3.354269999999999641e+02,1.005171835422515869e-01
3.365299999999999727e+02,9.456412494182586670e-02
3.376329999999999814e+02,1.093686521053314209e-01
3.387359999999999900e+02,1.044675111770629883e-01
3.398389999999999986e+02,1.191112995147705078e-01
3.409420000000000073e+02,1.127815470099449158e-01
3.420450000000000159e+02,1.307922601699829102e-01
3.431479999999999677e+02,1.214263811707496643e-01
3.442509999999999764e+02,1.388857215642929077e-01
3.453539999999999850e+02,1.230478510260581970e-01
3.464569999999999936e+02,1.316696256399154663e-01
3.475600000000000023e+02,1.108339801430702209e-01
3.486630000000000109e+02,1.131443828344345093e-01
3.497659999999999627e+02,1.007101163268089294e-01
3.508689999999999714e+02,1.121890023350715637e-01
3.519719999999999800e+02,1.084591746330261230e-01
3.530749999999999886e+02,1.259600222110748291e-01
3.541779999999999973e+02,1.161898002028465271e-01
3.552810000000000059e+02,1.261621415615081787e-01
3.563840000000000146e+02,1.079171225428581238e-01
3.574869999999999663e+02,1.133327558636665344e-01
3.585899999999999750e+02,9.604786336421966553e-02
3.596929999999999836e+02,1.035579890012741089e-01
3.607959999999999923e+02,9.084349870681762695e-02
3.618990000000000009e+02,9.894167631864547729e-02
3.630020000000000095e+02,9.014534950256347656e-02
3.641049999999999613e+02,1.028690040111541748e-01
3.652079999999999700e+02,1.001175567507743835e-01
3.663109999999999786e+02,1.189322322607040405e-01
3.674139999999999873e+02,1.140952259302139282e-01
3.685169999999999959e+02,1.339341551065444946e-01
3.696200000000000045e+02,1.224690154194831848e-01
3.707230000000000132e+02,1.377466171979904175e-01
