Wavelength_nm,Intensity
3.177789999999999964e+02,1.036573424935340881e-01
3.188820000000000050e+02,9.191539138555526733e-02
3.199850000000000136e+02,1.010086685419082642e-01
3.210879999999999654e+02,9.114766120910644531e-02
3.221909999999999741e+02,1.021026819944381714e-01
3.232939999999999827e+02,9.338384866714477539e-02
3.243969999999999914e+02,1.039980649948120117e-01
3.255000000000000000e+02,9.237129241228103638e-02
3.266030000000000086e+02,1.006103828549385071e-01
3.277060000000000173e+02,8.849407732486724854e-02
3.288089999999999691e+02,9.670440107583999634e-02
3.299119999999999777e+02,8.335490524768829346e-02
3.310149999999999864e+02,9.060069173574447632e-02
3.321179999999999950e+02,7.739038765430450439e-02
3.332210000000000036e+02,8.478491753339767456e-02
3.343240000000000123e+02,7.577327638864517212e-02
3.354269999999999641e+02,8.626762032508850098e-02
3.365299999999999727e+02,8.055260032415390015e-02
3.376329999999999814e+02,9.361892938613891602e-02
3.387359999999999900e+02,8.883960545063018799e-02
3.398389999999999986e+02,1.025201901793479919e-01
3.409420000000000073e+02,9.690593928098678589e-02
3.420450000000000159e+02,1.124483346939086914e-01
3.431479999999999677e+02,1.044203415513038635e-01
3.442509999999999764e+02,1.183552518486976624e-01
3.453539999999999850e+02,1.032591387629508972e-01
3.464569999999999936e+02,1.086190268397331238e-01
3.475600000000000023e+02,8.891157805919647217e-02
3.486630000000000109e+02,9.085976332426071167e-02
3.497659999999999627e+02,7.998154312372207642e-02
3.508689999999999714e+02,9.051432460546493530e-02
3.519719999999999800e+02,8.837416023015975952e-02
3.530749999999999886e+02,1.041372194886207581e-01
3.541779999999999973e+02,9.567745774984359741e-02
3.552810000000000059e+02,1.035566627979278564e-01
3.563840000000000146e+02,8.692500740289688110e-02
3.574869999999999663e+02,9.193944185972213745e-02
3.585899999999999750e+02,7.701607048511505127e-02
3.596929999999999836e+02,8.234242349863052368e-02
3.607959999999999923e+02,7.176652550697326660e-02
3.618990000000000009e+02,7.776463776826858521e-02
3.630020000000000095e+02,6.985671073198318481e-02
3.641049999999999613e+02,8.030787110328674316e-02
3.652079999999999700e+02,7.904583215713500977e-02
3.663109999999999786e+02,9.686271846294403076e-02
3.674139999999999873e+02,9.304308891296386719e-02
3.685169999999999959e+02,1.107112094759941101e-01
3.696200000000000045e+02,1.002120897173881531e-01
3.707230000000000132e+02,1.147131174802780151e-01
3.718259999999999650e+02,1.018435657024383545e-01
