# pressure = 5.0
r_m,r_mm,ne_m3,ne_cm3,ni_m3,ni_cm3,Te_eV,phi_V,E_Vm
2.314500e-02,23.1450,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.5831,-550.0000,-244692.2445
2.343787e-02,23.4379,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.5796,-457.8783,-244692.2445
2.373074e-02,23.7307,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.5723,-406.6741,-118389.1827
2.402361e-02,24.0236,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.5439,-388.5331,-40603.9319
2.431648e-02,24.3165,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.4858,-382.8908,-13454.8141
2.460935e-02,24.6093,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.4335,-380.6521,-6061.5099
2.490222e-02,24.9022,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.4056,-379.3403,-4048.1499
2.519509e-02,25.1951,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.3934,-378.2810,-3499.8675
2.548796e-02,25.4880,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.3873,-377.2903,-3350.5581
2.578083e-02,25.7808,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.3833,-376.3184,-3309.8979
2.607370e-02,26.0737,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.3799,-375.3516,-3298.8252
2.636657e-02,26.3666,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.3766,-374.3862,-3295.8099
2.665944e-02,26.6594,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.3735,-373.4211,-3294.9887
2.695231e-02,26.9523,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.3704,-372.4562,-3294.7651
2.724518e-02,27.2452,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.3673,-371.4912,-3294.7042
2.753805e-02,27.5380,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.3643,-370.5263,-3294.6876
2.783091e-02,27.8309,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.3613,-369.5614,-3294.6831
2.812378e-02,28.1238,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.3583,-368.5965,-3294.6819
2.841665e-02,28.4167,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.3554,-367.6316,-3294.6816
2.870952e-02,28.7095,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.3525,-366.6667,-3294.6815
2.900239e-02,29.0024,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.3496,-365.7018,-3294.6815
2.929526e-02,29.2953,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.3467,-364.7368,-3294.6814
2.958813e-02,29.5881,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.3439,-363.7719,-3294.6814
2.988100e-02,29.8810,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.3411,-362.8070,-3294.6814
3.017387e-02,30.1739,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.3383,-361.8421,-3294.6814
3.046674e-02,30.4667,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.3356,-360.8772,-3294.6814
3.075961e-02,30.7596,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.3329,-359.9123,-3294.6814
3.105248e-02,31.0525,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.3302,-358.9474,-3294.6814
3.134535e-02,31.3454,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.3275,-357.9825,-3294.6814
3.163822e-02,31.6382,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.3249,-357.0175,-3294.6814
3.193109e-02,31.9311,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.3223,-356.0526,-3294.6814
3.222396e-02,32.2240,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.3197,-355.0877,-3294.6814
3.251683e-02,32.5168,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.3171,-354.1228,-3294.6814
3.280970e-02,32.8097,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.3146,-353.1579,-3294.6814
3.310257e-02,33.1026,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.3121,-352.1930,-3294.6814
3.339544e-02,33.3954,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.3096,-351.2281,-3294.6814
3.368831e-02,33.6883,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.3071,-350.2632,-3294.6814
3.398118e-02,33.9812,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.3047,-349.2982,-3294.6814
3.427405e-02,34.2740,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.3023,-348.3333,-3294.6814
3.456692e-02,34.5669,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.2999,-347.3684,-3294.6814
3.485979e-02,34.8598,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.2975,-346.4035,-3294.6814
3.515266e-02,35.1527,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.2952,-345.4386,-3294.6814
3.544553e-02,35.4455,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.2929,-344.4737,-3294.6814
3.573840e-02,35.7384,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.2906,-343.5088,-3294.6814
3.603127e-02,36.0313,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.2883,-342.5439,-3294.6814
3.632414e-02,36.3241,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.2861,-341.5789,-3294.6814
3.661701e-02,36.6170,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.2839,-340.6140,-3294.6814
3.690987e-02,36.9099,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.2817,-339.6491,-3294.6814
3.720274e-02,37.2027,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.2795,-338.6842,-3294.6814
3.749561e-02,37.4956,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.2773,-337.7193,-3294.6814
3.778848e-02,37.7885,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.2752,-336.7544,-3294.6814
3.808135e-02,38.0814,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.2731,-335.7895,-3294.6814
3.837422e-02,38.3742,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.2710,-334.8246,-3294.6814
3.866709e-02,38.6671,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.2689,-333.8596,-3294.6814
3.895996e-02,38.9600,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.2668,-332.8947,-3294.6814
3.925283e-02,39.2528,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.2648,-331.9298,-3294.6814
3.954570e-02,39.5457,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.2628,-330.9649,-3294.6814
3.983857e-02,39.8386,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.2608,-330.0000,-3294.6814
4.013144e-02,40.1314,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.2588,-329.0351,-3294.6814
4.042431e-02,40.4243,1.997687e+18,1.997687e+12,1.999861e+18,1.999861e+12,1.2569,-328.0702,-3294.6814
4.071718e-02,40.7172,1.983441e+18,1.983441e+12,1.999006e+18,1.999006e+12,1.2550,-327.1053,-3294.6814
4.101005e-02,41.0101,1.948353e+18,1.948353e+12,1.996901e+18,1.996901e+12,1.2530,-326.1404,-3294.6814
4.130292e-02,41.3029,1.895179e+18,1.895179e+12,1.993711e+18,1.993711e+12,1.2511,-325.1754,-3294.6814
