# DC Glow Discharge Radial Solver — Air Plasma
# Cathode radius   : 23.145 mm
# Chamber radius   : 140.0 mm
# Current          : 20.00 mA
# Cathode voltage  : -550.0 V
# Pressure         : 0.0400 Torr
# Gas              : Air (80% N2 / 20% O2)
#
# Columns
#   r_m    — radial position [m]
#   r_mm   — radial position [mm]
#   ne_m3  — electron density [m^-3]
#   ne_cm3 — electron density [cm^-3]
#   ni_m3  — ion density [m^-3]
#   ni_cm3 — ion density [cm^-3]
#   Te_eV  — electron temperature [eV]
#   phi_V  — electric potential [V]
#   E_Vm   — radial electric field [V/m]
r_m,r_mm,ne_m3,ne_cm3,ni_m3,ni_cm3,Te_eV,phi_V,E_Vm
3.632414e-02,36.3241,1.389106e+16,1.389106e+10,1.460858e+16,1.460858e+10,1.4560,-341.5789,-3294.6814
3.661701e-02,36.6170,1.379093e+16,1.379093e+10,1.450855e+16,1.450855e+10,1.4538,-340.6140,-3294.6814
3.690987e-02,36.9099,1.370347e+16,1.370347e+10,1.442076e+16,1.442076e+10,1.4516,-339.6491,-3294.6814
3.720274e-02,37.2027,1.362745e+16,1.362745e+10,1.434399e+16,1.434399e+10,1.4494,-338.6842,-3294.6814
3.749561e-02,37.4956,1.356171e+16,1.356171e+10,1.427711e+16,1.427711e+10,1.4472,-337.7193,-3294.6814
3.778848e-02,37.7885,1.350522e+16,1.350522e+10,1.421908e+16,1.421908e+10,1.4451,-336.7544,-3294.6814
3.808135e-02,38.0814,1.345698e+16,1.345698e+10,1.416896e+16,1.416896e+10,1.4430,-335.7895,-3294.6814
3.837422e-02,38.3742,1.341613e+16,1.341613e+10,1.412588e+16,1.412588e+10,1.4409,-334.8246,-3294.6814
3.866709e-02,38.6671,1.338185e+16,1.338185e+10,1.408904e+16,1.408904e+10,1.4388,-333.8596,-3294.6814
3.895996e-02,38.9600,1.335339e+16,1.335339e+10,1.405774e+16,1.405774e+10,1.4368,-332.8947,-3294.6814
3.925283e-02,39.2528,1.333009e+16,1.333009e+10,1.403132e+16,1.403132e+10,1.4347,-331.9298,-3294.6814
3.954570e-02,39.5457,1.331133e+16,1.331133e+10,1.400919e+16,1.400919e+10,1.4327,-330.9649,-3294.6814
3.983857e-02,39.8386,1.329655e+16,1.329655e+10,1.399082e+16,1.399082e+10,1.4307,-330.0000,-3294.6814
4.013144e-02,40.1314,1.328527e+16,1.328527e+10,1.397574e+16,1.397574e+10,1.4288,-329.0351,-3294.6814
