# pressure = 2.0
r_m,r_mm,ne_m3,ne_cm3,ni_m3,ni_cm3,Te_eV,phi_V,E_Vm
2.314500e-02,23.1450,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.5831,-550.0000,-244692.2445
2.343787e-02,23.4379,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.5796,-457.8783,-244692.2445
2.373074e-02,23.7307,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.5759,-406.6741,-118389.1827
2.402361e-02,24.0236,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.5677,-388.5331,-40603.9319
2.431648e-02,24.3165,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.5410,-382.8908,-13454.8141
2.460935e-02,24.6093,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.4934,-380.6521,-6061.5099
2.490222e-02,24.9022,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.4554,-379.3403,-4048.1499
2.519509e-02,25.1951,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.4373,-378.2810,-3499.8675
2.548796e-02,25.4880,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.4294,-377.2903,-3350.5581
2.578083e-02,25.7808,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.4249,-376.3184,-3309.8979
2.607370e-02,26.0737,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.4213,-375.3516,-3298.8252
2.636657e-02,26.3666,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.4180,-374.3862,-3295.8099
2.665944e-02,26.6594,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.4149,-373.4211,-3294.9887
2.695231e-02,26.9523,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.4118,-372.4562,-3294.7651
2.724518e-02,27.2452,1.997804e+18,1.997804e+12,1.999868e+18,1.999868e+12,1.4087,-371.4912,-3294.7042
2.753805e-02,27.5380,1.985478e+18,1.985478e+12,1.999129e+18,1.999129e+12,1.4057,-370.5263,-3294.6876
2.783091e-02,27.8309,1.957547e+18,1.957547e+12,1.997453e+18,1.997453e+12,1.4027,-369.5614,-3294.6831
2.812378e-02,28.1238,1.915497e+18,1.915497e+12,1.994930e+18,1.994930e+12,1.3997,-368.5965,-3294.6819
2.841665e-02,28.4167,1.862056e+18,1.862056e+12,1.991723e+18,1.991723e+12,1.3968,-367.6316,-3294.6816
2.870952e-02,28.7095,1.799274e+18,1.799274e+12,1.987956e+18,1.987956e+12,1.3938,-366.6667,-3294.6815
2.900239e-02,29.0024,1.728895e+18,1.728895e+12,1.983734e+18,1.983734e+12,1.3910,-365.7018,-3294.6815
2.929526e-02,29.2953,1.652533e+18,1.652533e+12,1.979152e+18,1.979152e+12,1.3881,-364.7368,-3294.6814
2.958813e-02,29.5881,1.571725e+18,1.571725e+12,1.966709e+18,1.966709e+12,1.3853,-363.7719,-3294.6814
2.988100e-02,29.8810,1.487907e+18,1.487907e+12,1.924075e+18,1.924075e+12,1.3825,-362.8070,-3294.6814
3.017387e-02,30.1739,1.402386e+18,1.402386e+12,1.848421e+18,1.848421e+12,1.3797,-361.8421,-3294.6814
3.046674e-02,30.4667,1.316327e+18,1.316327e+12,1.752892e+18,1.752892e+12,1.3770,-360.8772,-3294.6814
3.075961e-02,30.7596,1.230747e+18,1.230747e+12,1.648021e+18,1.648021e+12,1.3742,-359.9123,-3294.6814
3.105248e-02,31.0525,1.146520e+18,1.146520e+12,1.539674e+18,1.539674e+12,1.3715,-358.9474,-3294.6814
3.134535e-02,31.3454,1.064387e+18,1.064387e+12,1.431326e+18,1.431326e+12,1.3689,-357.9825,-3294.6814
3.163822e-02,31.6382,9.849597e+17,9.849597e+11,1.325160e+18,1.325160e+12,1.3662,-357.0175,-3294.6814
3.193109e-02,31.9311,9.087292e+17,9.087292e+11,1.222593e+18,1.222593e+12,1.3636,-356.0526,-3294.6814
3.222396e-02,32.2240,8.360775e+17,8.360775e+11,1.124556e+18,1.124556e+12,1.3610,-355.0877,-3294.6814
3.251683e-02,32.5168,7.672845e+17,7.672845e+11,1.031644e+18,1.031644e+12,1.3585,-354.1228,-3294.6814
3.280970e-02,32.8097,7.025388e+17,7.025388e+11,9.442229e+17,9.442229e+11,1.3560,-353.1579,-3294.6814
3.310257e-02,33.1026,6.419477e+17,6.419477e+11,8.624868e+17,8.624868e+11,1.3534,-352.1930,-3294.6814
3.339544e-02,33.3954,5.855471e+17,5.855471e+11,7.864995e+17,7.864995e+11,1.3510,-351.2281,-3294.6814
3.368831e-02,33.6883,5.333117e+17,5.333117e+11,7.162247e+17,7.162247e+11,1.3485,-350.2632,-3294.6814
3.398118e-02,33.9812,4.851642e+17,4.851642e+11,6.515474e+17,6.515474e+11,1.3461,-349.2982,-3294.6814
3.427405e-02,34.2740,4.409848e+17,4.409848e+11,5.922913e+17,5.922913e+11,1.3437,-348.3333,-3294.6814
3.456692e-02,34.5669,4.006195e+17,4.006195e+11,5.382329e+17,5.382329e+11,1.3413,-347.3684,-3294.6814
3.485979e-02,34.8598,3.638878e+17,3.638878e+11,4.891137e+17,4.891137e+11,1.3389,-346.4035,-3294.6814
3.515266e-02,35.1527,3.305898e+17,3.305898e+11,4.446502e+17,4.446502e+11,1.3366,-345.4386,-3294.6814
3.544553e-02,35.4455,3.005127e+17,3.005127e+11,4.045430e+17,4.045430e+11,1.3343,-344.4737,-3294.6814
3.573840e-02,35.7384,2.734363e+17,2.734363e+11,3.684845e+17,3.684845e+11,1.3320,-343.5088,-3294.6814
3.603127e-02,36.0313,2.491372e+17,2.491372e+11,3.361649e+17,3.361649e+11,1.3297,-342.5439,-3294.6814
3.632414e-02,36.3241,2.273938e+17,2.273938e+11,3.072781e+17,3.072781e+11,1.3275,-341.5789,-3294.6814
3.661701e-02,36.6170,2.079888e+17,2.079888e+11,2.815255e+17,2.815255e+11,1.3252,-340.6140,-3294.6814
3.690987e-02,36.9099,1.907120e+17,1.907120e+11,2.586198e+17,2.586198e+11,1.3230,-339.6491,-3294.6814
3.720274e-02,37.2027,1.753627e+17,1.753627e+11,2.382874e+17,2.382874e+11,1.3209,-338.6842,-3294.6814
3.749561e-02,37.4956,1.617510e+17,1.617510e+11,2.202701e+17,2.202701e+11,1.3187,-337.7193,-3294.6814
3.778848e-02,37.7885,1.496986e+17,1.496986e+11,2.043271e+17,2.043271e+11,1.3166,-336.7544,-3294.6814
3.808135e-02,38.0814,1.390400e+17,1.390400e+11,1.902346e+17,1.902346e+11,1.3144,-335.7895,-3294.6814
3.837422e-02,38.3742,1.296223e+17,1.296223e+11,1.777870e+17,1.777870e+11,1.3123,-334.8246,-3294.6814
3.866709e-02,38.6671,1.213053e+17,1.213053e+11,1.667963e+17,1.667963e+11,1.3103,-333.8596,-3294.6814
3.895996e-02,38.9600,1.139613e+17,1.139613e+11,1.570915e+17,1.570915e+11,1.3082,-332.8947,-3294.6814
3.925283e-02,39.2528,1.074750e+17,1.074750e+11,1.485186e+17,1.485186e+11,1.3062,-331.9298,-3294.6814
3.954570e-02,39.5457,1.017423e+17,1.017423e+11,1.409388e+17,1.409388e+11,1.3042,-330.9649,-3294.6814
3.983857e-02,39.8386,9.667001e+16,9.667001e+10,1.342285e+17,1.342285e+11,1.3022,-330.0000,-3294.6814
4.013144e-02,40.1314,9.217527e+16,9.217527e+10,1.282776e+17,1.282776e+11,1.3002,-329.0351,-3294.6814
4.042431e-02,40.4243,8.818444e+16,8.818444e+10,1.229886e+17,1.229886e+11,1.2983,-328.0702,-3294.6814
4.071718e-02,40.7172,8.463252e+16,8.463252e+10,1.182757e+17,1.182757e+11,1.2963,-327.1053,-3294.6814
4.101005e-02,41.0101,8.146231e+16,8.146231e+10,1.140633e+17,1.140633e+11,1.2944,-326.1404,-3294.6814
4.130292e-02,41.3029,7.862371e+16,7.862371e+10,1.102855e+17,1.102855e+11,1.2925,-325.1754,-3294.6814
