# pressure = 0.5
r_m,r_mm,ne_m3,ne_cm3,ni_m3,ni_cm3,Te_eV,phi_V,E_Vm
3.749561e-02,37.4956,2.569659e+16,2.569659e+10,3.709109e+16,3.709109e+10,1.4382,-337.7193,-3294.6814
3.778848e-02,37.7885,2.527763e+16,2.527763e+10,3.651399e+16,3.651399e+10,1.4361,-336.7544,-3294.6814
3.808135e-02,38.0814,2.489752e+16,2.489752e+10,3.599019e+16,3.599019e+10,1.4340,-335.7895,-3294.6814
3.837422e-02,38.3742,2.455210e+16,2.455210e+10,3.551396e+16,3.551396e+10,1.4319,-334.8246,-3294.6814
3.866709e-02,38.6671,2.423765e+16,2.423765e+10,3.508014e+16,3.508014e+10,1.4298,-333.8596,-3294.6814
3.895996e-02,38.9600,2.395079e+16,2.395079e+10,3.468410e+16,3.468410e+10,1.4278,-332.8947,-3294.6814
3.925283e-02,39.2528,2.368852e+16,2.368852e+10,3.432168e+16,3.432168e+10,1.4257,-331.9298,-3294.6814
3.954570e-02,39.5457,2.344811e+16,2.344811e+10,3.398915e+16,3.398915e+10,1.4237,-330.9649,-3294.6814
3.983857e-02,39.8386,2.322714e+16,2.322714e+10,3.368318e+16,3.368318e+10,1.4217,-330.0000,-3294.6814
4.013144e-02,40.1314,2.302344e+16,2.302344e+10,3.340078e+16,3.340078e+10,1.4198,-329.0351,-3294.6814
4.042431e-02,40.4243,2.283507e+16,2.283507e+10,3.313930e+16,3.313930e+10,1.4178,-328.0702,-3294.6814
4.071718e-02,40.7172,2.266032e+16,2.266032e+10,3.289638e+16,3.289638e+10,1.4159,-327.1053,-3294.6814
4.101005e-02,41.0101,2.249764e+16,2.249764e+10,3.266991e+16,3.266991e+10,1.4140,-326.1404,-3294.6814
4.130292e-02,41.3029,2.234568e+16,2.234568e+10,3.245804e+16,3.245804e+10,1.4121,-325.1754,-3294.6814
4.159579e-02,41.5958,2.220322e+16,2.220322e+10,3.225910e+16,3.225910e+10,1.4102,-324.2105,-3294.6814
4.188866e-02,41.8887,2.206920e+16,2.206920e+10,3.207165e+16,3.207165e+10,1.4083,-323.2456,-3294.6814
4.218153e-02,42.1815,2.194267e+16,2.194267e+10,3.189439e+16,3.189439e+10,1.4065,-322.2807,-3294.6814
4.247440e-02,42.4744,2.182280e+16,2.182280e+10,3.172619e+16,3.172619e+10,1.4047,-321.3158,-3294.6814
4.276727e-02,42.7673,2.170885e+16,2.170885e+10,3.156605e+16,3.156605e+10,1.4029,-320.3509,-3294.6814
4.306014e-02,43.0601,2.160018e+16,2.160018e+10,3.141308e+16,3.141308e+10,1.4011,-319.3860,-3294.6814
4.335301e-02,43.3530,2.149622e+16,2.149622e+10,3.126652e+16,3.126652e+10,1.3993,-318.4211,-3294.6814
4.364588e-02,43.6459,2.139646e+16,2.139646e+10,3.112569e+16,3.112569e+10,1.3976,-317.4561,-3294.6814
4.393875e-02,43.9387,2.130048e+16,2.130048e+10,3.098999e+16,3.098999e+10,1.3958,-316.4912,-3294.6814
4.423162e-02,44.2316,2.120788e+16,2.120788e+10,3.085890e+16,3.085890e+10,1.3941,-315.5263,-3294.6814
4.452449e-02,44.5245,2.111833e+16,2.111833e+10,3.073197e+16,3.073197e+10,1.3924,-314.5614,-3294.6814
4.481736e-02,44.8174,2.103153e+16,2.103153e+10,3.060879e+16,3.060879e+10,1.3908,-313.5965,-3294.6814
4.511023e-02,45.1102,2.094723e+16,2.094723e+10,3.048902e+16,3.048902e+10,1.3891,-312.6316,-3294.6814
4.540310e-02,45.4031,2.086520e+16,2.086520e+10,3.037236e+16,3.037236e+10,1.3874,-311.6667,-3294.6814
4.569596e-02,45.6960,2.078524e+16,2.078524e+10,3.025852e+16,3.025852e+10,1.3858,-310.7018,-3294.6814
4.598883e-02,45.9888,2.070717e+16,2.070717e+10,3.014728e+16,3.014728e+10,1.3842,-309.7368,-3294.6814
4.628170e-02,46.2817,2.063085e+16,2.063085e+10,3.003844e+16,3.003844e+10,1.3826,-308.7719,-3294.6814
4.657457e-02,46.5746,2.055614e+16,2.055614e+10,2.993180e+16,2.993180e+10,1.3810,-307.8070,-3294.6814
4.686744e-02,46.8674,2.048292e+16,2.048292e+10,2.982722e+16,2.982722e+10,1.3795,-306.8421,-3294.6814
4.716031e-02,47.1603,2.041108e+16,2.041108e+10,2.972454e+16,2.972454e+10,1.3779,-305.8772,-3294.6814
4.745318e-02,47.4532,2.034055e+16,2.034055e+10,2.962364e+16,2.962364e+10,1.3764,-304.9123,-3294.6814
4.774605e-02,47.7461,2.027122e+16,2.027122e+10,2.952442e+16,2.952442e+10,1.3749,-303.9474,-3294.6814
4.803892e-02,48.0389,2.020303e+16,2.020303e+10,2.942677e+16,2.942677e+10,1.3733,-302.9825,-3294.6814
4.833179e-02,48.3318,2.013592e+16,2.013592e+10,2.933061e+16,2.933061e+10,1.3719,-302.0175,-3294.6814
4.862466e-02,48.6247,2.006982e+16,2.006982e+10,2.923585e+16,2.923585e+10,1.3704,-301.0526,-3294.6814
4.891753e-02,48.9175,2.000469e+16,2.000469e+10,2.914242e+16,2.914242e+10,1.3689,-300.0877,-3294.6814
4.921040e-02,49.2104,1.994047e+16,1.994047e+10,2.905026e+16,2.905026e+10,1.3675,-299.1228,-3294.6814
4.950327e-02,49.5033,1.987712e+16,1.987712e+10,2.895932e+16,2.895932e+10,1.3660,-298.1579,-3294.6814
4.979614e-02,49.7961,1.981461e+16,1.981461e+10,2.886953e+16,2.886953e+10,1.3646,-297.1930,-3294.6814
5.008901e-02,50.0890,1.975290e+16,1.975290e+10,2.878084e+16,2.878084e+10,1.3632,-296.2281,-3294.6814
5.038188e-02,50.3819,1.969195e+16,1.969195e+10,2.869322e+16,2.869322e+10,1.3618,-295.2632,-3294.6814
5.067475e-02,50.6747,1.963173e+16,1.963173e+10,2.860663e+16,2.860663e+10,1.3605,-294.2982,-3294.6814
5.096762e-02,50.9676,1.957222e+16,1.957222e+10,2.852101e+16,2.852101e+10,1.3591,-293.3333,-3294.6814
5.126049e-02,51.2605,1.951339e+16,1.951339e+10,2.843634e+16,2.843634e+10,1.3578,-292.3684,-3294.6814
5.155336e-02,51.5534,1.945522e+16,1.945522e+10,2.835259e+16,2.835259e+10,1.3564,-291.4035,-3294.6814
5.184623e-02,51.8462,1.939768e+16,1.939768e+10,2.826971e+16,2.826971e+10,1.3551,-290.4386,-3294.6814
5.213910e-02,52.1391,1.934075e+16,1.934075e+10,2.818769e+16,2.818769e+10,1.3538,-289.4737,-3294.6814
5.243197e-02,52.4320,1.928442e+16,1.928442e+10,2.810650e+16,2.810650e+10,1.3525,-288.5088,-3294.6814
5.272484e-02,52.7248,1.922866e+16,1.922866e+10,2.802610e+16,2.802610e+10,1.3512,-287.5439,-3294.6814
5.301771e-02,53.0177,1.917345e+16,1.917345e+10,2.794649e+16,2.794649e+10,1.3500,-286.5789,-3294.6814
5.331058e-02,53.3106,1.911879e+16,1.911879e+10,2.786762e+16,2.786762e+10,1.3487,-285.6140,-3294.6814
5.360345e-02,53.6034,1.906464e+16,1.906464e+10,2.778949e+16,2.778949e+10,1.3475,-284.6491,-3294.6814
5.389632e-02,53.8963,1.901101e+16,1.901101e+10,2.771207e+16,2.771207e+10,1.3462,-283.6842,-3294.6814
5.418919e-02,54.1892,1.895788e+16,1.895788e+10,2.763535e+16,2.763535e+10,1.3450,-282.7193,-3294.6814
5.448206e-02,54.4821,1.890522e+16,1.890522e+10,2.755929e+16,2.755929e+10,1.3438,-281.7544,-3294.6814
5.477492e-02,54.7749,1.885304e+16,1.885304e+10,2.748390e+16,2.748390e+10,1.3426,-280.7895,-3294.6814
5.506779e-02,55.0678,1.880132e+16,1.880132e+10,2.740915e+16,2.740915e+10,1.3414,-279.8246,-3294.6814
5.536066e-02,55.3607,1.875004e+16,1.875004e+10,2.733503e+16,2.733503e+10,1.3403,-278.8596,-3294.6814
5.565353e-02,55.6535,1.869920e+16,1.869920e+10,2.726152e+16,2.726152e+10,1.3391,-277.8947,-3294.6814
5.594640e-02,55.9464,1.864879e+16,1.864879e+10,2.718860e+16,2.718860e+10,1.3379,-276.9298,-3294.6814
5.623927e-02,56.2393,1.859879e+16,1.859879e+10,2.711628e+16,2.711628e+10,1.3368,-275.9649,-3294.6814
5.653214e-02,56.5321,1.854921e+16,1.854921e+10,2.704453e+16,2.704453e+10,1.3357,-275.0000,-3294.6814
5.682501e-02,56.8250,1.850003e+16,1.850003e+10,2.697335e+16,2.697335e+10,1.3346,-274.0351,-3294.6814
5.711788e-02,57.1179,1.845124e+16,1.845124e+10,2.690271e+16,2.690271e+10,1.3335,-273.0702,-3294.6814
5.741075e-02,57.4108,1.840283e+16,1.840283e+10,2.683262e+16,2.683262e+10,1.3324,-272.1053,-3294.6814
5.770362e-02,57.7036,1.835481e+16,1.835481e+10,2.676307e+16,2.676307e+10,1.3313,-271.1404,-3294.6814
5.799649e-02,57.9965,1.830716e+16,1.830716e+10,2.669404e+16,2.669404e+10,1.3302,-270.1754,-3294.6814
5.828936e-02,58.2894,1.825987e+16,1.825987e+10,2.662552e+16,2.662552e+10,1.3292,-269.2105,-3294.6814
5.858223e-02,58.5822,1.821295e+16,1.821295e+10,2.655752e+16,2.655752e+10,1.3281,-268.2456,-3294.6814
5.887510e-02,58.8751,1.816638e+16,1.816638e+10,2.649002e+16,2.649002e+10,1.3271,-267.2807,-3294.6814
5.916797e-02,59.1680,1.812016e+16,1.812016e+10,2.642301e+16,2.642301e+10,1.3261,-266.3158,-3294.6814
5.946084e-02,59.4608,1.807428e+16,1.807428e+10,2.635649e+16,2.635649e+10,1.3250,-265.3509,-3294.6814
5.975371e-02,59.7537,1.802875e+16,1.802875e+10,2.629045e+16,2.629045e+10,1.3240,-264.3860,-3294.6814
6.004658e-02,60.0466,1.798355e+16,1.798355e+10,2.622489e+16,2.622489e+10,1.3230,-263.4211,-3294.6814
6.033945e-02,60.3394,1.793869e+16,1.793869e+10,2.615980e+16,2.615980e+10,1.3220,-262.4561,-3294.6814
6.063232e-02,60.6323,1.789415e+16,1.789415e+10,2.609518e+16,2.609518e+10,1.3211,-261.4912,-3294.6814
6.092519e-02,60.9252,1.784995e+16,1.784995e+10,2.603102e+16,2.603102e+10,1.3201,-260.5263,-3294.6814
6.121806e-02,61.2181,1.780606e+16,1.780606e+10,2.596731e+16,2.596731e+10,1.3191,-259.5614,-3294.6814
6.151093e-02,61.5109,1.776249e+16,1.776249e+10,2.590406e+16,2.590406e+10,1.3182,-258.5965,-3294.6814
6.180380e-02,61.8038,1.771923e+16,1.771923e+10,2.584126e+16,2.584126e+10,1.3173,-257.6316,-3294.6814
6.209667e-02,62.0967,1.767629e+16,1.767629e+10,2.577890e+16,2.577890e+10,1.3163,-256.6667,-3294.6814
6.238954e-02,62.3895,1.763366e+16,1.763366e+10,2.571699e+16,2.571699e+10,1.3154,-255.7018,-3294.6814
6.268241e-02,62.6824,1.759134e+16,1.759134e+10,2.565551e+16,2.565551e+10,1.3145,-254.7368,-3294.6814
6.297528e-02,62.9753,1.754932e+16,1.754932e+10,2.559447e+16,2.559447e+10,1.3136,-253.7719,-3294.6814
6.326815e-02,63.2681,1.750760e+16,1.750760e+10,2.553386e+16,2.553386e+10,1.3127,-252.8070,-3294.6814
