# pressure = 1.0
r_m,r_mm,ne_m3,ne_cm3,ni_m3,ni_cm3,Te_eV,phi_V,E_Vm
2.314500e-02,23.1450,2.000000e+18,2.000000e+12,2.000000e+18,2.000000e+12,1.5831,-550.0000,-244692.2445
2.343787e-02,23.4379,1.997911e+18,1.997911e+12,1.999875e+18,1.999875e+12,1.5796,-457.8783,-244692.2445
2.373074e-02,23.7307,1.982484e+18,1.982484e+12,1.998949e+18,1.998949e+12,1.5762,-406.6741,-118389.1827
2.402361e-02,24.0236,1.937098e+18,1.937098e+12,1.996226e+18,1.996226e+12,1.5720,-388.5331,-40603.9319
2.431648e-02,24.3165,1.859690e+18,1.859690e+12,1.991581e+18,1.991581e+12,1.5623,-382.8908,-13454.8141
2.460935e-02,24.6093,1.758162e+18,1.758162e+12,1.985490e+18,1.985490e+12,1.5398,-380.6521,-6061.5099
2.490222e-02,24.9022,1.643229e+18,1.643229e+12,1.969681e+18,1.969681e+12,1.5098,-379.3403,-4048.1499
2.519509e-02,25.1951,1.523485e+18,1.523485e+12,1.917125e+18,1.917125e+12,1.4888,-378.2810,-3499.8675
2.548796e-02,25.4880,1.403948e+18,1.403948e+12,1.821736e+18,1.821736e+12,1.4788,-377.2903,-3350.5581
2.578083e-02,25.7808,1.287364e+18,1.287364e+12,1.700632e+18,1.700632e+12,1.4736,-376.3184,-3309.8979
2.607370e-02,26.0737,1.175429e+18,1.175429e+12,1.569275e+18,1.569275e+12,1.4699,-375.3516,-3298.8252
2.636657e-02,26.3666,1.069298e+18,1.069298e+12,1.436621e+18,1.436621e+12,1.4666,-374.3862,-3295.8099
2.665944e-02,26.6594,9.697388e+17,9.697388e+11,1.307791e+18,1.307791e+12,1.4634,-373.4211,-3294.9887
2.695231e-02,26.9523,8.771982e+17,8.771982e+11,1.185664e+18,1.185664e+12,1.4603,-372.4562,-3294.7651
2.724518e-02,27.2452,7.918523e+17,7.918523e+11,1.071763e+18,1.071763e+12,1.4572,-371.4912,-3294.7042
2.753805e-02,27.5380,7.136606e+17,7.136606e+11,9.667531e+17,9.667531e+11,1.4542,-370.5263,-3294.6876
2.783091e-02,27.8309,6.424185e+17,6.424185e+11,8.707530e+17,8.707530e+11,1.4512,-369.5614,-3294.6831
2.812378e-02,28.1238,5.778042e+17,5.778042e+11,7.835352e+17,7.835352e+11,1.4482,-368.5965,-3294.6819
2.841665e-02,28.4167,5.194195e+17,5.194195e+11,7.046647e+17,7.046647e+11,1.4453,-367.6316,-3294.6816
2.870952e-02,28.7095,4.668227e+17,4.668227e+11,6.335922e+17,6.335922e+11,1.4423,-366.6667,-3294.6815
2.900239e-02,29.0024,4.195546e+17,4.195546e+11,5.697163e+17,5.697163e+11,1.4395,-365.7018,-3294.6815
2.929526e-02,29.2953,3.771571e+17,3.771571e+11,5.124246e+17,5.124246e+11,1.4366,-364.7368,-3294.6814
2.958813e-02,29.5881,3.391872e+17,3.391872e+11,4.611187e+17,4.611187e+11,1.4338,-363.7719,-3294.6814
2.988100e-02,29.8810,3.052245e+17,3.052245e+11,4.152300e+17,4.152300e+11,1.4310,-362.8070,-3294.6814
3.017387e-02,30.1739,2.748771e+17,2.748771e+11,3.742276e+17,3.742276e+11,1.4282,-361.8421,-3294.6814
3.046674e-02,30.4667,2.477831e+17,2.477831e+11,3.376218e+17,3.376218e+11,1.4255,-360.8772,-3294.6814
3.075961e-02,30.7596,2.236115e+17,2.236115e+11,3.049648e+17,3.049648e+11,1.4227,-359.9123,-3294.6814
3.105248e-02,31.0525,2.020610e+17,2.020610e+11,2.758493e+17,2.758493e+11,1.4201,-358.9474,-3294.6814
3.134535e-02,31.3454,1.828589e+17,1.828589e+11,2.499066e+17,2.499066e+11,1.4174,-357.9825,-3294.6814
3.163822e-02,31.6382,1.657585e+17,1.657585e+11,2.268039e+17,2.268039e+11,1.4148,-357.0175,-3294.6814
3.193109e-02,31.9311,1.505378e+17,1.505378e+11,2.062411e+17,2.062411e+11,1.4121,-356.0526,-3294.6814
3.222396e-02,32.2240,1.369969e+17,1.369969e+11,1.879481e+17,1.879481e+11,1.4096,-355.0877,-3294.6814
3.251683e-02,32.5168,1.249561e+17,1.249561e+11,1.716823e+17,1.716823e+11,1.4070,-354.1228,-3294.6814
3.280970e-02,32.8097,1.142539e+17,1.142539e+11,1.572255e+17,1.572255e+11,1.4045,-353.1579,-3294.6814
3.310257e-02,33.1026,1.047457e+17,1.047457e+11,1.443820e+17,1.443820e+11,1.4020,-352.1930,-3294.6814
3.339544e-02,33.3954,9.630150e+16,9.630150e+10,1.329765e+17,1.329765e+11,1.3995,-351.2281,-3294.6814
3.368831e-02,33.6883,8.880497e+16,8.880497e+10,1.228515e+17,1.228515e+11,1.3970,-350.2632,-3294.6814
3.398118e-02,33.9812,8.215185e+16,8.215185e+10,1.138661e+17,1.138661e+11,1.3946,-349.2982,-3294.6814
3.427405e-02,34.2740,7.624885e+16,7.624885e+10,1.058941e+17,1.058941e+11,1.3922,-348.3333,-3294.6814
3.456692e-02,34.5669,7.101248e+16,7.101248e+10,9.882269e+16,9.882269e+10,1.3898,-347.3684,-3294.6814
3.485979e-02,34.8598,6.636813e+16,6.636813e+10,9.255087e+16,9.255087e+10,1.3874,-346.4035,-3294.6814
3.515266e-02,35.1527,6.224912e+16,6.224912e+10,8.698851e+16,8.698851e+10,1.3851,-345.4386,-3294.6814
3.544553e-02,35.4455,5.859596e+16,5.859596e+10,8.205510e+16,8.205510e+10,1.3828,-344.4737,-3294.6814
3.573840e-02,35.7384,5.535553e+16,5.535553e+10,7.767883e+16,7.767883e+10,1.3805,-343.5088,-3294.6814
3.603127e-02,36.0313,5.248052e+16,5.248052e+10,7.379570e+16,7.379570e+10,1.3782,-342.5439,-3294.6814
3.632414e-02,36.3241,4.992876e+16,4.992876e+10,7.034869e+16,7.034869e+10,1.3760,-341.5789,-3294.6814
3.661701e-02,36.6170,4.766274e+16,4.766274e+10,6.728709e+16,6.728709e+10,1.3737,-340.6140,-3294.6814
3.690987e-02,36.9099,4.564910e+16,4.564910e+10,6.456579e+16,6.456579e+10,1.3715,-339.6491,-3294.6814
3.720274e-02,37.2027,4.385819e+16,4.385819e+10,6.214473e+16,6.214473e+10,1.3694,-338.6842,-3294.6814
3.749561e-02,37.4956,4.226372e+16,4.226372e+10,5.998837e+16,5.998837e+10,1.3672,-337.7193,-3294.6814
3.778848e-02,37.7885,4.084237e+16,4.084237e+10,5.806519e+16,5.806519e+10,1.3651,-336.7544,-3294.6814
3.808135e-02,38.0814,3.957346e+16,3.957346e+10,5.634730e+16,5.634730e+10,1.3630,-335.7895,-3294.6814
3.837422e-02,38.3742,3.843871e+16,3.843871e+10,5.481000e+16,5.481000e+10,1.3609,-334.8246,-3294.6814
3.866709e-02,38.6671,3.742197e+16,3.742197e+10,5.343149e+16,5.343149e+10,1.3588,-333.8596,-3294.6814
3.895996e-02,38.9600,3.650896e+16,3.650896e+10,5.219250e+16,5.219250e+10,1.3567,-332.8947,-3294.6814
3.925283e-02,39.2528,3.568708e+16,3.568708e+10,5.107606e+16,5.107606e+10,1.3547,-331.9298,-3294.6814
3.954570e-02,39.5457,3.494525e+16,3.494525e+10,5.006723e+16,5.006723e+10,1.3527,-330.9649,-3294.6814
3.983857e-02,39.8386,3.427369e+16,3.427369e+10,4.915283e+16,4.915283e+10,1.3507,-330.0000,-3294.6814
4.013144e-02,40.1314,3.366383e+16,3.366383e+10,4.832132e+16,4.832132e+10,1.3487,-329.0351,-3294.6814
4.042431e-02,40.4243,3.310813e+16,3.310813e+10,4.756255e+16,4.756255e+10,1.3468,-328.0702,-3294.6814
4.071718e-02,40.7172,3.259998e+16,3.259998e+10,4.686763e+16,4.686763e+10,1.3448,-327.1053,-3294.6814
4.101005e-02,41.0101,3.213357e+16,3.213357e+10,4.622877e+16,4.622877e+10,1.3429,-326.1404,-3294.6814
4.130292e-02,41.3029,3.170384e+16,3.170384e+10,4.563914e+16,4.563914e+10,1.3410,-325.1754,-3294.6814
4.159579e-02,41.5958,3.130635e+16,3.130635e+10,4.509280e+16,4.509280e+10,1.3392,-324.2105,-3294.6814
4.188866e-02,41.8887,3.093723e+16,3.093723e+10,4.458456e+16,4.458456e+10,1.3373,-323.2456,-3294.6814
4.218153e-02,42.1815,3.059309e+16,3.059309e+10,4.410986e+16,4.410986e+10,1.3355,-322.2807,-3294.6814
4.247440e-02,42.4744,3.027100e+16,3.027100e+10,4.366477e+16,4.366477e+10,1.3336,-321.3158,-3294.6814
4.276727e-02,42.7673,2.996837e+16,2.996837e+10,4.324583e+16,4.324583e+10,1.3318,-320.3509,-3294.6814
4.306014e-02,43.0601,2.968297e+16,2.968297e+10,4.285007e+16,4.285007e+10,1.3301,-319.3860,-3294.6814
4.335301e-02,43.3530,2.941286e+16,2.941286e+10,4.247486e+16,4.247486e+10,1.3283,-318.4211,-3294.6814
4.364588e-02,43.6459,2.915635e+16,2.915635e+10,4.211794e+16,4.211794e+10,1.3265,-317.4561,-3294.6814
4.393875e-02,43.9387,2.891195e+16,2.891195e+10,4.177736e+16,4.177736e+10,1.3248,-316.4912,-3294.6814
4.423162e-02,44.2316,2.867839e+16,2.867839e+10,4.145139e+16,4.145139e+10,1.3231,-315.5263,-3294.6814
4.452449e-02,44.5245,2.845456e+16,2.845456e+10,4.113854e+16,4.113854e+10,1.3214,-314.5614,-3294.6814
4.481736e-02,44.8174,2.823948e+16,2.823948e+10,4.083753e+16,4.083753e+10,1.3197,-313.5965,-3294.6814
4.511023e-02,45.1102,2.803232e+16,2.803232e+10,4.054723e+16,4.054723e+10,1.3181,-312.6316,-3294.6814
4.540310e-02,45.4031,2.783234e+16,2.783234e+10,4.026665e+16,4.026665e+10,1.3164,-311.6667,-3294.6814
