# DC Glow Discharge Radial Solver — Air Plasma
# Cathode radius   : 23.145 mm
# Chamber radius   : 140.0 mm
# Current          : 20.00 mA
# Cathode voltage  : -550.0 V
# Pressure         : 0.0250 Torr
# Gas              : Air (80% N2 / 20% O2)
#
# Columns
#   r_m    — radial position [m]
#   r_mm   — radial position [mm]
#   ne_m3  — electron density [m^-3]
#   ne_cm3 — electron density [cm^-3]
#   ni_m3  — ion density [m^-3]
#   ni_cm3 — ion density [cm^-3]
#   Te_eV  — electron temperature [eV]
#   phi_V  — electric potential [V]
#   E_Vm   — radial electric field [V/m]
r_m,r_mm,ne_m3,ne_cm3,ni_m3,ni_cm3,Te_eV,phi_V,E_Vm
2.314500e-02,23.1450,7.927709e+16,7.927709e+10,7.375564e+16,7.375564e+10,1.5831,-550.0000,-187586.8500
2.343787e-02,23.4379,7.480526e+16,7.480526e+10,7.130982e+16,7.130982e+10,1.5796,-491.2550,-187586.8500
2.373074e-02,23.7307,7.053018e+16,7.053018e+10,6.830743e+16,6.830743e+10,1.5762,-440.1230,-147059.6650
2.402361e-02,24.0236,6.647857e+16,6.647857e+10,6.494681e+16,6.494681e+10,1.5727,-405.1164,-88570.0175
2.431648e-02,24.3165,6.262730e+16,6.262730e+10,6.152438e+16,6.152438e+10,1.5693,-388.2441,-39285.4927
2.460935e-02,24.6093,5.896530e+16,5.896530e+10,5.818834e+16,5.818834e+10,1.5660,-382.1053,-14527.6118
2.490222e-02,24.9022,5.549882e+16,5.549882e+10,5.499675e+16,5.499675e+10,1.5627,-379.7347,-6346.5478
2.519509e-02,25.1951,5.224169e+16,5.224169e+10,5.195378e+16,5.195378e+10,1.5594,-378.3879,-4123.6388
2.548796e-02,25.4880,4.919806e+16,4.919806e+10,4.905285e+16,4.905285e+10,1.5561,-377.3193,-3519.7333
2.578083e-02,25.7808,4.636117e+16,4.636117e+10,4.630001e+16,4.630001e+10,1.5529,-376.3262,-3355.7274
2.607370e-02,26.0737,4.371975e+16,4.371975e+10,4.370597e+16,4.370597e+10,1.5497,-375.3537,-3311.2193
2.636657e-02,26.3666,4.126174e+16,4.126174e+10,4.127605e+16,4.127605e+10,1.5466,-374.3867,-3299.1549
2.665944e-02,26.6594,3.897552e+16,3.897552e+10,3.900902e+16,3.900902e+10,1.5434,-373.4213,-3295.8897
